compound,salinity,group,headspace_mL,date,day,umoles.mean,umoles.sd
PHEN,fresh,sterile_control,97,2015-05-22,276,NA,NA
26-diMN,saline,sterile_control,97,2015-05-22,276,NA,NA
DBT,saline,sterile_control,97,2015-05-22,276,NA,NA
PHEN,saline,sterile_control,97,2015-05-22,276,NA,NA
medium_only,brackish,medium_only_control,100,2015-05-22,276,NA,NA
medium_only,fresh,medium_only_control,100,2015-05-22,276,NA,NA
medium_only,saline,medium_only_control,100,2015-05-22,276,NA,NA
26-diMN,brackish,treatment,77,2015-07-02,317,88.3333333333333,54.3339059274532
DBT,brackish,treatment,77,2015-07-02,317,106.566666666667,2.95014123955674
PHEN,brackish,treatment,77,2015-07-02,317,118.3,9.80153049273428
26-diMN,fresh,treatment,77,2015-07-02,317,37.6333333333333,19.3572553150836
DBT,fresh,treatment,77,2015-07-02,317,NA,NA
PHEN,fresh,treatment,77,2015-07-02,317,47.7333333333333,48.1227943217487
26-diMN,saline,treatment,77,2015-07-02,317,51.9666666666667,1.52752523165195
DBT,saline,treatment,77,2015-07-02,317,9.96666666666667,1.13724814061547
PHEN,saline,treatment,77,2015-07-02,317,30.1333333333333,16.1871348092655
none,brackish,unamended_control,77,2015-07-02,317,28.0666666666667,16.4506332198288
none,fresh,unamended_control,77,2015-07-02,317,NA,NA
none,saline,unamended_control,77,2015-07-02,317,22.1666666666667,13.8240129243767
26-diMN,brackish,sterile_control,97,2015-07-02,317,NA,NA
DBT,brackish,sterile_control,97,2015-07-02,317,NA,NA
PHEN,brackish,sterile_control,97,2015-07-02,317,NA,NA
26-diMN,fresh,sterile_control,97,2015-07-02,317,NA,NA
DBT,fresh,sterile_control,97,2015-07-02,317,NA,NA
PHEN,fresh,sterile_control,97,2015-07-02,317,NA,NA
26-diMN,saline,sterile_control,97,2015-07-02,317,NA,NA
DBT,saline,sterile_control,97,2015-07-02,317,NA,NA
PHEN,saline,sterile_control,97,2015-07-02,317,NA,NA
medium_only,brackish,medium_only_control,100,2015-07-02,317,NA,NA
medium_only,fresh,medium_only_control,100,2015-07-02,317,NA,NA
medium_only,saline,medium_only_control,100,2015-07-02,317,NA,NA
26-diMN,brackish,treatment,77,2015-08-17,363,102.933333333333,51.0402129044671
DBT,brackish,treatment,77,2015-08-17,363,108.233333333333,4.53688586293873
PHEN,brackish,treatment,77,2015-08-17,363,127.166666666667,13.7819930827632
26-diMN,fresh,treatment,77,2015-08-17,363,38.3333333333333,21.6924718124361
DBT,fresh,treatment,77,2015-08-17,363,NA,NA
PHEN,fresh,treatment,77,2015-08-17,363,81.5333333333333,55.3944341367735
26-diMN,saline,treatment,77,2015-08-17,363,53.6666666666667,2.82193786843958
DBT,saline,treatment,77,2015-08-17,363,8.6,1.87349939951952
PHEN,saline,treatment,77,2015-08-17,363,29.8666666666667,17.292291153382
none,brackish,unamended_control,77,2015-08-17,363,24.5666666666667,0.208166599946614
none,fresh,unamended_control,77,2015-08-17,363,NA,NA
none,saline,unamended_control,77,2015-08-17,363,21.2,14.7237902728883
26-diMN,brackish,sterile_control,97,2015-08-17,363,NA,NA
DBT,brackish,sterile_control,97,2015-08-17,363,NA,NA
PHEN,brackish,sterile_control,97,2015-08-17,363,NA,NA
26-diMN,fresh,sterile_control,97,2015-08-17,363,NA,NA
DBT,fresh,sterile_control,97,2015-08-17,363,NA,NA
PHEN,fresh,sterile_control,97,2015-08-17,363,NA,NA
26-diMN,saline,sterile_control,97,2015-08-17,363,NA,NA
DBT,saline,sterile_control,97,2015-08-17,363,NA,NA
PHEN,saline,sterile_control,97,2015-08-17,363,NA,NA
medium_only,brackish,medium_only_control,100,2015-08-17,363,NA,NA
medium_only,fresh,medium_only_control,100,2015-08-17,363,NA,NA
medium_only,saline,medium_only_control,100,2015-08-17,363,NA,NA
26-diMN,brackish,treatment,77,2015-09-15,392,104.733333333333,68.4115730950059
DBT,brackish,treatment,77,2015-09-15,392,119.1,4.18688428309167
PHEN,brackish,treatment,77,2015-09-15,392,138.2,11.8494725621017
26-diMN,fresh,treatment,77,2015-09-15,392,40.8,23.9041837342336
DBT,fresh,treatment,77,2015-09-15,392,NA,NA
PHEN,fresh,treatment,77,2015-09-15,392,51.7,57.0728481854551
26-diMN,saline,treatment,77,2015-09-15,392,54.3,10.1385403288639
DBT,saline,treatment,77,2015-09-15,392,8.63333333333333,2.34591844132172
PHEN,saline,treatment,77,2015-09-15,392,32.5333333333333,19.5236608588997
none,brackish,unamended_control,77,2015-09-15,392,32.5333333333333,13.2322837535073
none,fresh,unamended_control,77,2015-09-15,392,NA,NA
none,saline,unamended_control,77,2015-09-15,392,21.3666666666667,15.2218045360376
26-diMN,brackish,sterile_control,97,2015-09-15,392,NA,NA
DBT,brackish,sterile_control,97,2015-09-15,392,NA,NA
PHEN,brackish,sterile_control,97,2015-09-15,392,NA,NA
26-diMN,fresh,sterile_control,97,2015-09-15,392,NA,NA
DBT,fresh,sterile_control,97,2015-09-15,392,NA,NA
PHEN,fresh,sterile_control,97,2015-09-15,392,NA,NA
26-diMN,saline,sterile_control,97,2015-09-15,392,NA,NA
DBT,saline,sterile_control,97,2015-09-15,392,NA,NA
PHEN,saline,sterile_control,97,2015-09-15,392,NA,NA
medium_only,brackish,medium_only_control,100,2015-09-15,392,NA,NA
medium_only,fresh,medium_only_control,100,2015-09-15,392,NA,NA
medium_only,saline,medium_only_control,100,2015-09-15,392,NA,NA
26-diMN,brackish,treatment,77,2015-10-23,430,113.666666666667,75.5990299761401
DBT,brackish,treatment,77,2015-10-23,430,130.233333333333,4.79826357480842
PHEN,brackish,treatment,77,2015-10-23,430,152.766666666667,13.5500307502726
26-diMN,fresh,treatment,77,2015-10-23,430,44.8,27.3780934325237
DBT,fresh,treatment,77,2015-10-23,430,NA,NA
PHEN,fresh,treatment,77,2015-10-23,430,55.9666666666667,64.5478375573755
26-diMN,saline,treatment,77,2015-10-23,430,30.2666666666667,38.1434572808147
DBT,saline,treatment,77,2015-10-23,430,8.4,3.01164406927512
PHEN,saline,treatment,77,2015-10-23,430,25.8333333333333,18.5192692440424
none,brackish,unamended_control,77,2015-10-23,430,35.1,11.3132665486145
none,fresh,unamended_control,77,2015-10-23,430,NA,NA
none,saline,unamended_control,77,2015-10-23,430,24.3333333333333,18.743087614727
26-diMN,brackish,sterile_control,97,2015-10-23,430,NA,NA
